address,bds,cost,distance_neu,distance_harvard,distance_mit,distance_bu,lat,lng
"315 on A | 315 A St, Boston, MA",1,3445,4.9 km,10.1 km,6.0 km,6.8 km,42.34881070000001,-71.04854209999999
"315 on A | 315 A St, Boston, MA",2,4845,4.9 km,10.1 km,6.0 km,6.8 km,42.34881070000001,-71.04854209999999
"Bowdoin School Apartments | 45 Myrtle St, Boston, MA",1,3000,4.0 km,7.8 km,3.6 km,3.5 km,42.3593991,-71.0661841
"Bowdoin School Apartments | 45 Myrtle St, Boston, MA",2,3540,4.0 km,7.8 km,3.6 km,3.5 km,42.3593991,-71.0661841
"33-39 Maverick Square, 33 Maverick Sq #301, Boston, MA 02128",2,2800,8.2 km,11.9 km,6.8 km,7.6 km,42.3691783,-71.0389588
"Ashford Street | 53-55 Ashford St, Allston, MA",2,2950,5.7 km,2.0 km,4.9 km,1.5 km,42.3542592,-71.1265933
"Van Ness | 1335 Boylston St, Boston, MA",Studio,3668,1.2 km,6.1 km,2.9 km,1.2 km,42.34425479999999,-71.09967069999999
"Van Ness | 1335 Boylston St, Boston, MA",1,4674,1.2 km,6.1 km,2.9 km,1.2 km,42.34425479999999,-71.09967069999999
"Morton Village | 65 Morton Village Dr, Mattapan, MA",Studio,1371,7.9 km,19.8 km,17.7 km,10.6 km,42.278306,-71.0875448
"Morton Village | 65 Morton Village Dr, Mattapan, MA",1,1449,7.9 km,19.8 km,17.7 km,10.6 km,42.278306,-71.0875448
"Morton Village | 65 Morton Village Dr, Mattapan, MA",2,1729,7.9 km,19.8 km,17.7 km,10.6 km,42.278306,-71.0875448
"1384 Commonwealth | 1384 Commonwealth Ave, Allston, MA",Studio,1950,4.6 km,3.0 km,5.0 km,1.8 km,42.3480102,-71.1373661
"1384 Commonwealth | 1384 Commonwealth Ave, Allston, MA",1,2300,4.6 km,3.0 km,5.0 km,1.8 km,42.3480102,-71.1373661
"1384 Commonwealth | 1384 Commonwealth Ave, Allston, MA",2,2650,4.6 km,3.0 km,5.0 km,1.8 km,42.3480102,-71.1373661
"1212 Commonwealth ave | 1212 Commonwealth Ave, Allston, MA",1,1950,11.4 km,5.4 km,11.7 km,4.9 km,42.340154,-71.1656705
"The Towers at Longfellow | 72 Staniford St, Boston, MA",Studio,2525,4.5 km,8.3 km,2.9 km,4.0 km,42.3631806,-71.06416829999999
"The Towers at Longfellow | 72 Staniford St, Boston, MA",1,2950,4.5 km,8.3 km,2.9 km,4.0 km,42.3631806,-71.06416829999999
"The Towers at Longfellow | 72 Staniford St, Boston, MA",2,4675,4.5 km,8.3 km,2.9 km,4.0 km,42.3631806,-71.06416829999999
"The Towers at Longfellow | 72 Staniford St, Boston, MA",3,5575,4.5 km,8.3 km,2.9 km,4.0 km,42.3631806,-71.06416829999999
"The Sudbury | 100 Sudbury St, Boston, MA",Studio,3495,6.5 km,10.6 km,3.8 km,5.2 km,42.3621181,-71.0593708
"The Sudbury | 100 Sudbury St, Boston, MA",1,3860,6.5 km,10.6 km,3.8 km,5.2 km,42.3621181,-71.0593708
"The Sudbury | 100 Sudbury St, Boston, MA",2,6520,6.5 km,10.6 km,3.8 km,5.2 km,42.3621181,-71.0593708
"The Sudbury | 100 Sudbury St, Boston, MA",3,7485,6.5 km,10.6 km,3.8 km,5.2 km,42.3621181,-71.0593708
"77-81 Park Drive | 77 Park Dr, Boston, MA",1,2800,1.0 km,6.3 km,4.2 km,1.7 km,42.3423899,-71.09572849999999
"77-81 Park Drive | 77 Park Dr, Boston, MA",2,3800,1.0 km,6.3 km,4.2 km,1.7 km,42.3423899,-71.09572849999999
"77-81 Park Drive | 77 Park Dr, Boston, MA",3,4400,1.0 km,6.3 km,4.2 km,1.7 km,42.3423899,-71.09572849999999
"The Alyx | 131 Seaport Blvd, Boston, MA",Studio,3526,5.5 km,10.1 km,7.6 km,8.5 km,42.3498578,-71.0444247
"The Alyx | 131 Seaport Blvd, Boston, MA",1,4413,5.5 km,10.1 km,7.6 km,8.5 km,42.3498578,-71.0444247
"The Alyx | 131 Seaport Blvd, Boston, MA",2,5400,5.5 km,10.1 km,7.6 km,8.5 km,42.3498578,-71.0444247
"The Alyx | 131 Seaport Blvd, Boston, MA",3,11748,5.5 km,10.1 km,7.6 km,8.5 km,42.3498578,-71.0444247
"117 Park Drive | 117 Park Dr, Boston, MA",Studio,2400,1.3 km,3.7 km,4.1 km,1.6 km,42.3420764,-71.0972938
"117 Park Drive | 117 Park Dr, Boston, MA",1,2800,1.3 km,3.7 km,4.1 km,1.6 km,42.3420764,-71.0972938
